date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2010-01-18 22:02:39,integracon,,0,0,0,"Welcome back to blogging. The month off was needed.) NetworkWorld.com Community blogs - http://www.networkw... http://bit.ly/4xSfjj #cisco",,,#cisco,7920116578,https://twitter.com/integracon/status/7920116578
2010-01-18 21:40:06,TiffanyWI,,0,0,0,"Become the #Cisco Superhero of ur office! http://bit.ly/CiscoSuperWeek | Cisco ""Super"" Week - Feb 8-12, 2010 ^CT (via @NHNewOrleans)",,@NHNewOrleans,#Cisco,7919416957,https://twitter.com/TiffanyWI/status/7919416957
2010-01-18 20:41:01,MacOSvsPC,,0,0,0,"RT @Cisco Certification Braindumps and Certification Training #cisco http://tinyurl.com/ya4zuxb",,@Cisco,#cisco,7917534103,https://twitter.com/MacOSvsPC/status/7917534103
2010-01-18 20:38:41,MacOSvsPC,,0,0,0,"Certification dumps and study materials http://bit.ly/67S9LW #microsoft #cisco #oracle #novell #comptia #checkpoint #lotus",,,#microsoft #cisco #oracle #novell #comptia #checkpoint #lotus,7917459036,https://twitter.com/MacOSvsPC/status/7917459036
2010-01-18 20:30:50,WorkingonStep2,,0,0,0,"blog post on #Cisco report on #socialmedia: http://bit.ly/socialvogons, a bit of cart before the horse",,,#Cisco #socialmedia,7917210607,https://twitter.com/WorkingonStep2/status/7917210607
2010-01-18 20:07:04,aarondelp,,0,0,0,"From a preview to a tease. Pic 3 of 3 #Cisco #UCS #Nexus #NetApp #EMC http://tweetphoto.com/9024945",,,#Cisco #UCS #Nexus #NetApp #EMC,7916450688,https://twitter.com/aarondelp/status/7916450688
2010-01-18 20:05:12,aarondelp,,0,0,0,"From a preview to a tease. Pic 2 of 3 #Cisco #UCS #Nexus #NetApp #EMC http://tweetphoto.com/9024841",,,#Cisco #UCS #Nexus #NetApp #EMC,7916392542,https://twitter.com/aarondelp/status/7916392542
2010-01-18 20:04:45,smalps,,0,1,0,"All about cloud computing. #cisco #ibm",,,#cisco #ibm,7916377501,https://twitter.com/smalps/status/7916377501
2010-01-18 20:02:27,plinesch,,0,0,0,"RT @integracon: Cisco moves UCS forward with four-in-one card http://bit.ly/83MSHZ #cisco",,@integracon,#cisco,7916305823,https://twitter.com/plinesch/status/7916305823
2010-01-18 20:02:19,aarondelp,,0,0,0,"From a preview to a tease. Pic 1 of 3 #Cisco #UCS #Nexus #NetApp #EMC http://tweetphoto.com/9024689",,,#Cisco #UCS #Nexus #NetApp #EMC,7916301693,https://twitter.com/aarondelp/status/7916301693
