date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-01-10 23:49:02,LighthouseCS,,0,0,1,"Cisco Unveils Industry’s First Predictive Services Powered by AI #CiscoDigital #Cisco #AI #ArtificialIntelligence #NetworkIntuitive #IntentBased https://hubs.ly/H09F3dV0 by @cisco",,@cisco,#CiscoDigital #Cisco #AI #ArtificialIntelligence #NetworkIntuitive #IntentBased,951239491695661056,https://twitter.com/LighthouseCS/status/951239491695661056
2018-01-10 23:49:01,ICgetsIT,,0,0,1,"Rural #hospitals are facing down connectivity obstacles as they deploy #telemedicine #Telehealth #Collaboration #Cisco #DigitalHealth #HealthTech #HealthIT #HealthcareIT #LouisianaHealth https://hubs.ly/H09F3zb0 by @SiwickiHealthIT",,@SiwickiHealthIT,#hospitals #telemedicine #Telehealth #Collaboration #Cisco #DigitalHealth #HealthTech #HealthIT #HealthcareIT #LouisianaHealth,951239485316108293,https://twitter.com/ICgetsIT/status/951239485316108293
2018-01-10 23:41:02,CXtec,,0,0,0,"What do #Macklemore and #equal2new #Cisco #networking equipment have in common? 90% off list prices! http://bit.ly/2jGPfEm #ThriftShoppic.twitter.com/yZK0sOKxpn",,,#Macklemore #equal2new #Cisco #networking #ThriftShoppic,951237478098374656,https://twitter.com/CXtec/status/951237478098374656
2018-01-10 23:30:08,JasonStegeman,,0,0,0,"Cisco Intersight Base General Availability Announcement #datacenter | #Cisco Blog post http://bit.ly/2qv9ius #ciscodcmaster",,,#datacenter #Cisco #ciscodcmaster,951234736671936514,https://twitter.com/JasonStegeman/status/951234736671936514
2018-01-10 23:19:33,TopCollabVids,,0,0,0,"Cisco Jabber: Use Jabber on Apple Watch – #Cisco https://goo.gl/fb/RGvrMj",,,#Cisco,951232070294044675,https://twitter.com/TopCollabVids/status/951232070294044675
2018-01-10 23:19:32,Ananna16,,3,10,9,"17 Best #IT #Training & #Certification Courses https://goo.gl/vkC7hz #AI #Analytics #IoT #IIoT #Azure #AWS #tech #CCNA #Networking #Security #Hacking #Cisco #bitcoin #Cloud #DataScience #DataScientist #BigData #MachineLearning #DeepLearning #ML #makeyourownlanepic.twitter.com/eFKEKa5KPt",,,#IT #Training #Certification #AI #Analytics #IoT #IIoT #Azure #AWS #tech #CCNA #Networking #Security #Hacking #Cisco #bitcoin #Cloud #DataScience #DataScientist #BigData #MachineLearning #DeepLearning #ML #makeyourownlanepic,951232068456824833,https://twitter.com/Ananna16/status/951232068456824833
2018-01-10 23:10:21,Modupe_C,,2,0,12,"When Great Minds Collaborate-The real magic happens! The #cisco Supply Chain team hosting the Cisco OIC Team for a tour of our Houston Operations and of course some BBQ! #thefutureinsupplychain #innovation #logistics @WeAreCisco @s_slate90 @jacallen_sc @ikeharris1pic.twitter.com/XmfnUmEKG5",,@WeAreCisco @s_slate90 @jacallen_sc @ikeharris1pic,#cisco #thefutureinsupplychain #innovation #logistics,951229754560188416,https://twitter.com/Modupe_C/status/951229754560188416
2018-01-10 22:45:13,tonyloiacono,,0,0,0,"Darrell Issa should be covered by @DianeHarkey. This is my backyard. Wonder if Diane is interested in what goes on here in #NCSD #InnovationCenter #Bonsall #Verizon #Vodafone #Cisco #Social #KappaLive #CONO #Jobs through technology in San Diegopic.twitter.com/rVd7mh1pJA",,@DianeHarkey,#NCSD #InnovationCenter #Bonsall #Verizon #Vodafone #Cisco #Social #KappaLive #CONO #Jobs,951223432246575104,https://twitter.com/tonyloiacono/status/951223432246575104
2018-01-10 22:43:53,c2JesusLeonell,,0,0,1,"See how Ansible support for #Cisco ACI helps network engineers get started with network automation. #Cisco #DevNet http://bit.ly/2CNecVm via @ciscodevnet",,@ciscodevnet,#Cisco #Cisco #DevNet,951223095192244224,https://twitter.com/c2JesusLeonell/status/951223095192244224
2018-01-10 22:37:03,CXtec,,0,0,0,"5 Key Benefits Of Using #Cisco 6500 Series Switches: http://bit.ly/2k0L6fp . #CiscoSwitches #UsedCisco #ITpic.twitter.com/t3XO6lAoNA",,,#Cisco #CiscoSwitches #UsedCisco #ITpic,951221376467308544,https://twitter.com/CXtec/status/951221376467308544
