date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2010-01-20 23:57:30,CiscoGeeks,,0,0,0,"Good stuff! What model switches you working with? RT @robm82: Can't wait to start playing with #Cisco switches in 6 weeks.",,@robm82,#Cisco,8005462424,https://twitter.com/CiscoGeeks/status/8005462424
2010-01-20 23:48:49,minesm,,0,0,0,"I'm just sayin'. We're getting really great entrants at www.prepthenet.com. Winner revealed soon via @CiscoSP360. More Flips to win. #cisco",,@CiscoSP360,#cisco,8005165615,https://twitter.com/minesm/status/8005165615
2010-01-20 23:09:00,SlackerUK,,0,0,0,"Just got the go ahead that I will be installing #cisco #ucs 52 blades across 7 chassis, two interconnects conecting to IBM n-series FUN !!!",,,#cisco #ucs,8003797225,https://twitter.com/SlackerUK/status/8003797225
2010-01-20 22:41:30,MacOSvsPC,,0,0,0,"Certification dumps and study materials #microsoft #cisco #oracle #novell #comptia #checkpoint http://bit.ly/67S9LW",,,#microsoft #cisco #oracle #novell #comptia #checkpoint,8002865857,https://twitter.com/MacOSvsPC/status/8002865857
2010-01-20 22:26:50,BetseyBolton,,0,0,0,"1/21 Webcast: #Vblock Infrastructure Packages with best-of-breed technologies from #VMware, #Cisco & #EMC http://tinyurl.com/yenntvt",,,#Vblock #VMware #Cisco #EMC,8002377171,https://twitter.com/BetseyBolton/status/8002377171
2010-01-20 22:26:17,integracon,,0,0,0,"Cisco hopes the idea of internet in space will catch on with telecoms — extending the network giant's custom... http://bit.ly/6s4n9o #cisco",,,#cisco,8002359110,https://twitter.com/integracon/status/8002359110
2010-01-20 22:02:38,jamesakadamingo,,0,0,0,"#Cisco routing where no router has routed before. (in space . . . ) http://bit.ly/6hEeFB",,,#Cisco,8001574502,https://twitter.com/jamesakadamingo/status/8001574502
2010-01-20 21:47:54,dmackdaddy,,0,1,0,"Just added MSMVP's website to my IT Blog/RSS feed agregator site for #itpros: http://www.iadvise.me/it/ #msft #vmware #cisco #linux #virus",,,#itpros #msft #vmware #cisco #linux #virus,8001140941,https://twitter.com/dmackdaddy/status/8001140941
2010-01-20 21:22:11,MacOSvsPC,,0,0,0,"Cisco Certification Braindumps and Certification Training http://braindumps.com.ua/certification/Cisco.html #cisco",,,#cisco,8000305535,https://twitter.com/MacOSvsPC/status/8000305535
2010-01-20 21:10:06,plinesch,,0,0,0,"RT @CiscoSystems: RT @kim_gibbons: The latest update on Cisco's first ever launch of Internet Routing in Space! http://ow.ly/YhUB #Cisco",,@CiscoSystems @kim_gibbons,#Cisco,7999912503,https://twitter.com/plinesch/status/7999912503
2010-01-20 21:07:20,PlantPhix,,0,0,0,"RT @valb00: RT @vmware Register now for Jan 26 event with #Cisco's Bates, #NetApp's Georgens & #VMware's Maritz http://bit.ly/5HHjrQ #IVA",,@valb00 @vmware,#Cisco #NetApp #VMware #IVA,7999822337,https://twitter.com/PlantPhix/status/7999822337
2010-01-20 20:43:47,SamMoulton,,0,0,0,"RT @valb00: RT @vmware Register now for Jan 26 event with #Cisco's Bates, #NetApp's Georgens & #VMware's Maritz http://bit.ly/5HHjrQ #IVA",,@valb00 @vmware,#Cisco #NetApp #VMware #IVA,7999056840,https://twitter.com/SamMoulton/status/7999056840
2010-01-20 20:41:37,InformIT,,0,0,0,"Cisco Peeps: Check out @ciscopress author Dennis Hartmann's blog on @ciscosubnet #cisco http://bit.ly/8kXvJf",,@ciscopress @ciscosubnet,#cisco,7998989360,https://twitter.com/InformIT/status/7998989360
2010-01-20 20:41:36,MsJamieShoup,,0,1,0,"Cisco Peeps: Check out @ciscopress author Dennis Hartmann's blog on @ciscosubnet #cisco http://bit.ly/8kXvJf",,@ciscopress @ciscosubnet,#cisco,7998988766,https://twitter.com/MsJamieShoup/status/7998988766
2010-01-20 20:41:36,CiscoPress,,0,0,0,"Cisco Peeps: Check out @ciscopress author Dennis Hartmann's blog on @ciscosubnet #cisco http://bit.ly/8kXvJf",,@ciscopress @ciscosubnet,#cisco,7998988683,https://twitter.com/CiscoPress/status/7998988683
2010-01-20 20:41:04,valb00,,0,0,0,"RT @vmware: Register now for the Jan 26 online event with #Cisco's Bates, #NetApp's Georgens & #VMware's Maritz http://bit.ly/5HHjrQ #IVA",,@vmware,#Cisco #NetApp #VMware #IVA,7998971741,https://twitter.com/valb00/status/7998971741
2010-01-20 20:26:27,CiscoPress,,0,0,0,"RT @CiscoPress: RT @gkumaran: @scott_lowe Cisco Press Books. http://bit.ly/4FSOYl #cisco",,@CiscoPress @gkumaran @scott_lowe,#cisco,7998508378,https://twitter.com/CiscoPress/status/7998508378
2010-01-20 19:35:49,robm82,,0,0,0,"Can't wait to start playing with #Cisco switches in 6 weeks. Are they better than #3COM?",,,#Cisco #3COM,7996928216,https://twitter.com/robm82/status/7996928216
2010-01-20 19:28:16,colovirt,,0,0,0,"Getting ready for a #cisco UCS demo with @varrowinc at ciscos #charlotte office.",,@varrowinc,#cisco #charlotte,7996690541,https://twitter.com/colovirt/status/7996690541
2010-01-20 19:14:40,asteriskbot,,0,0,0,"@hdznrrd: grokking #asterisk and #trixbox, #cisco 7941 phones blow...",,@hdznrrd,#asterisk #trixbox #cisco,7996265661,https://twitter.com/asteriskbot/status/7996265661
2010-01-20 19:09:37,hdznrrd,,0,0,0,"grokking #asterisk and #trixbox, #cisco 7941 phones blow...",,,#asterisk #trixbox #cisco,7996108536,https://twitter.com/hdznrrd/status/7996108536
2010-01-20 19:06:42,jeremyssmith,,0,0,0,"Quoting and engineering wireless solutions. #cisco #wifi @soundsidegroup",,@soundsidegroup,#cisco #wifi,7996018100,https://twitter.com/jeremyssmith/status/7996018100
2010-01-20 18:52:03,psmiraglia,,0,0,0,"#Cisco Trails #Motorola in IPTV Space http://bit.ly/8NUETI",,,#Cisco #Motorola,7995561264,https://twitter.com/psmiraglia/status/7995561264
2010-01-20 18:45:43,StorageMonkeys,,0,0,0,"RT @ciscoDC: RT @drombaut Interview w/ Manjula Talreja, #Cisco VP for VCE coalition http://bit.ly/6T12XU <-Interesting, but still ? alliance",,@ciscoDC @drombaut,#Cisco,7995368281,https://twitter.com/StorageMonkeys/status/7995368281
2010-01-20 18:40:30,ciscoDC,,0,0,0,"RT @drombaut Interview w/ Manjula Talreja, #Cisco VP for VMware,Cisco,EMC Virtual Computing Environment (#VCE)coalition http://bit.ly/6T12XU",,@drombaut,#Cisco #VCE,7995210033,https://twitter.com/ciscoDC/status/7995210033
2010-01-20 18:37:34,drombaut,,0,0,0,"Interview with Manjula Talreja, #Cisco VP for VMware, Cisco, EMC Virtual Computing Environment (#VCE) coalition http://bit.ly/6T12XU",,,#Cisco #VCE,7995120281,https://twitter.com/drombaut/status/7995120281
2010-01-20 18:22:54,TheRouterSchool,,0,0,0,"It's not a surprise that Cisco is pushing to have everything video-enabled to accelerate the refresh of ente... http://bit.ly/4qCfJu #cisco",,,#cisco,7994669404,https://twitter.com/TheRouterSchool/status/7994669404
