date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-01-22 23:52:57,ScottBrown247,,1,2,9,"Very proud of our own Nicki Ryan @NickiR100 #Cisco on being named a finalist in the @FDMGroup @everywomanUK #techawards #womenintech https://lnkd.in/gMAaDQn .",,@NickiR100 @FDMGroup @everywomanUK,#Cisco #techawards #womenintech,955589130771079168,https://twitter.com/ScottBrown247/status/955589130771079168
2018-01-22 23:44:26,AnnPcari,,0,0,0,"#Cisco orchestrates #IoT transformation at Cisco Live Barcelona. #CLEUR #CiscoInnovates, @sraghav19 #CiscoInnovates http://bit.ly/2G7WoGi pic.twitter.com/2iluaRMZO2",,@sraghav19,#Cisco #IoT #CLEUR #CiscoInnovates #CiscoInnovates,955586985896304640,https://twitter.com/AnnPcari/status/955586985896304640
2018-01-22 23:37:30,Micro_Data_Sys,,0,0,2,"""Intent-based networking allows for automation at scale, so companies can manage a seemingly unmanageable array of devices and other technologies."" [Chuck Robbins] #CiscoPartner #Cisco #AIhttp://bit.ly/2DpeLVD",,,#CiscoPartner #Cisco #AIhttp,955585242881982466,https://twitter.com/Micro_Data_Sys/status/955585242881982466
2018-01-22 23:14:13,toddjwalk3r,,0,0,1,"We've cooked up a fresh batch of #DevNetCreate sessions for you. https://devnetcreate.io/2018/ Bring your ideas and your appetite for all things #Programmability. #Tech #Conference #SiliconValley #EarlyBird #IoT #Cloud #Collaboration #DevOps #Cisco #DevNet http://bit.ly/2rAXibx pic.twitter.com/5vLklrZREx",,,#DevNetCreate #Programmability #Tech #Conference #SiliconValley #EarlyBird #IoT #Cloud #Collaboration #DevOps #Cisco #DevNet,955579383451758592,https://twitter.com/toddjwalk3r/status/955579383451758592
2018-01-22 23:00:25,azoft,,0,0,0,"A Step by STep Guide to Connecting MikroTik to Cisco VPN https://buff.ly/2DN2RWD #MikroTik #CiscoVPN #Cisco pic.twitter.com/syNDW11Gzc",,,#MikroTik #CiscoVPN #Cisco,955575911528718339,https://twitter.com/azoft/status/955575911528718339
2018-01-22 22:52:49,StackNetworkEng,,0,0,0,"Cisco routers THROUGHPUT-MTU size https://networkengineering.stackexchange.com/q/47223?atw=1 #cisco",,,#cisco,955573999593025536,https://twitter.com/StackNetworkEng/status/955573999593025536
2018-01-22 22:51:01,silviakspiva,,1,5,17,"Want to know what it’s like to work @CiscoDevNet? Follow our featured stories this week @Cisco @instagram https://www.instagram.com/cisco/ #Cisco #DevNet #Developers #API #Code #WIT #NetAcad #WeAreCisco #LoveWhereYouWork #SiliconValley #100DaysOfCodepic.twitter.com/D2Sc2feQUm",,@CiscoDevNet @Cisco @instagram,#Cisco #DevNet #Developers #API #Code #WIT #NetAcad #WeAreCisco #LoveWhereYouWork #SiliconValley #100DaysOfCodepic,955573546788405248,https://twitter.com/silviakspiva/status/955573546788405248
2018-01-22 22:45:05,CXtec,,0,0,0,"How to choose the right #Cisco router for your business: http://bit.ly/2jLiXYv .pic.twitter.com/CAFSSJEkra",,,#Cisco,955572051867205632,https://twitter.com/CXtec/status/955572051867205632
2018-01-22 22:42:14,jmansillagallo,,0,0,0,"See #IoT orchestration in action at #Cisco Live Barcelona via @fvlingen #CLEUR #CiscoInnovates http://bit.ly/2rrnbug pic.twitter.com/YXwm0e4yZJ",,@fvlingen,#IoT #Cisco #CLEUR #CiscoInnovates,955571334003568640,https://twitter.com/jmansillagallo/status/955571334003568640
2018-01-22 22:40:59,Notes_Theory,,2,0,2,"Who wants a CISSP video on KNOWN-PLAINTEXT ATTACK?? You got it: https://www.studynotesandtheory.com/single-post/Known-Plaintext-Attack … ---------------- > #cissp #security #ceh #hacking #cybersecurity #infosec #pune #bengaluru #chennai #ethicalhacking #breach #data #firewall #checkpoint #cisco #encryption #cryptography",,,#cissp #security #ceh #hacking #cybersecurity #infosec #pune #bengaluru #chennai #ethicalhacking #breach #data #firewall #checkpoint #cisco #encryption #cryptography,955571021133897728,https://twitter.com/Notes_Theory/status/955571021133897728
2018-01-22 22:18:50,DCI_Academy,,0,0,6,"Free IT Training in #Connecticut for young adults! Earn credentials and paid internships! #Cisco #CompTIA #career #apprenticeship #jobsearch #job #education #internship @WorkingCities @BridgeportYMCA @BPSiSuper @theDTymca @SoSHartford @GrowHtfdYouth @Real_Health360 @CityofBptCTpic.twitter.com/DD3GhJDuAB",,@WorkingCities @BridgeportYMCA @BPSiSuper @theDTymca @SoSHartford @GrowHtfdYouth @Real_Health360 @CityofBptCTpic,#Connecticut #Cisco #CompTIA #career #apprenticeship #jobsearch #job #education #internship,955565446757052416,https://twitter.com/DCI_Academy/status/955565446757052416
2018-01-22 21:54:20,WohlfordDR,IBMStorage,0,1,0,"Exciting is building as #IBMStorage is bringing so many great solutions to your data center with #CISCO #VersaStack - See it and hear it at #CLEUR @CiscoLive #IBMCOS #IBMALLFlash #SoftwareDefinedStorage #SpectrumStoragehttps://twitter.com/IBMStorage/status/954066992444604424 …",,@CiscoLive,#IBMStorage #CISCO #VersaStack #CLEUR #IBMCOS #IBMALLFlash #SoftwareDefinedStorage #SpectrumStoragehttps,955559278403764224,https://twitter.com/WohlfordDR/status/955559278403764224
2018-01-22 21:47:51,GreatGregatt,,0,0,1,"What are 6 ways #IoT is improving our lives? #Cisco's VP @MaciejKranz writes in the World Economic Forum’s @WEF Agenda blog--see how #IoT is transforming #healthcare, #agriculture & our environmental impact in exciting ways. http://bit.ly/2rw185r pic.twitter.com/d2yHlN0hcO",,@MaciejKranz @WEF,#IoT #Cisco #IoT #healthcare #agriculture,955557646970470400,https://twitter.com/GreatGregatt/status/955557646970470400
2018-01-22 21:41:14,CloudPacific,,0,0,1,"If you are looking for professionals…. you are in the right place! We are certified #AWS Solutions Architects and #Cisco Certified Network Professionals. http://www.cloudpacific.ca",,,#AWS #Cisco,955555982817374208,https://twitter.com/CloudPacific/status/955555982817374208
2018-01-22 21:41:02,CXtec,,0,0,0,"What do #Macklemore and #equal2new #Cisco #networking equipment have in common? 90% off list prices! http://bit.ly/2jGPfEm #ThriftShoppic.twitter.com/Xog5bS8l5D",,,#Macklemore #equal2new #Cisco #networking #ThriftShoppic,955555934356623360,https://twitter.com/CXtec/status/955555934356623360
2018-01-22 21:33:15,ReclutamientoMX,,0,0,2,"What are 6 ways #IoT is improving our lives? #Cisco's VP @MaciejKranz writes in the World Economic Forum’s @WEF Agenda blog--see how #IoT is transforming #healthcare, #agriculture & our environmental impact in exciting ways. http://bit.ly/2n3nuqp pic.twitter.com/dhe6H5i3zo",,@MaciejKranz @WEF,#IoT #Cisco #IoT #healthcare #agriculture,955553973104123904,https://twitter.com/ReclutamientoMX/status/955553973104123904
2018-01-22 21:27:30,mharanas1987,,0,2,1,"5 Pay-As-You-Go #DataCenter offerings from vendors that partners need to know #Cisco #Dell #dellemc #HPE #OpenStack #rackspace #datacentre #hyperconverged #storage #Server #servers http://www.crn.com/slide-shows/data-center/300098221/5-pay-as-you-go-data-center-infrastructure-offerings-partners-need-to-know.htm …pic.twitter.com/WT0RN4lRpP",,,#DataCenter #Cisco #Dell #dellemc #HPE #OpenStack #rackspace #datacentre #hyperconverged #storage #Server #servers,955552527025688576,https://twitter.com/mharanas1987/status/955552527025688576
2018-01-22 21:03:45,tylka5,,0,0,0,"See #IoT orchestration in action at #Cisco Live Barcelona via @fvlingen #CLEUR #CiscoInnovates http://bit.ly/2DyXrkd pic.twitter.com/z6Ay9KqE6K",,@fvlingen,#IoT #Cisco #CLEUR #CiscoInnovates,955546551564161024,https://twitter.com/tylka5/status/955546551564161024
2018-01-22 21:03:42,IM_JonShearer,,0,1,0,"Get secure with Cisco. Don’t delay in contacting a Cisco Partner. #DCCIMUK18 #Cisco #technology #networking #securityhttps://www.theguardian.com/technology/2018/jan/22/cyber-attack-on-uk-matter-of-when-not-if-says-security-chief-ciaran-martin?CMP=Share_iOSApp_Other …",,,#DCCIMUK18 #Cisco #technology #networking #securityhttps,955546536775241728,https://twitter.com/IM_JonShearer/status/955546536775241728
2018-01-22 20:53:45,Hybrid_Circle,,0,0,0,"IDG Contributor Network: Why (and how) utilities see a future in the #cloud http://twib.in/l/E5qoqdKq7Kn7 via @HYBRID_CIRCLE #Hybrid #Cisco pic.twitter.com/xugjaGU1UE",,@HYBRID_CIRCLE,#cloud #Hybrid #Cisco,955544032305991680,https://twitter.com/Hybrid_Circle/status/955544032305991680
2018-01-22 20:37:03,CXtec,,0,0,0,"5 Key Benefits Of Using #Cisco 6500 Series Switches: http://bit.ly/2k0L6fp . #CiscoSwitches #UsedCisco #ITpic.twitter.com/ti23kY9kR6",,,#Cisco #CiscoSwitches #UsedCisco #ITpic,955539832457060356,https://twitter.com/CXtec/status/955539832457060356
2018-01-22 20:34:13,TedgibsonTed,,0,0,0,"#Cisco orchestrates #IoT transformation at Cisco Live Barcelona. #CLEUR #CiscoInnovates, @sraghav19 #CiscoInnovates http://bit.ly/2G2tEPj pic.twitter.com/UN7AWPjSRv",,@sraghav19,#Cisco #IoT #CLEUR #CiscoInnovates #CiscoInnovates,955539119903465472,https://twitter.com/TedgibsonTed/status/955539119903465472
2018-01-22 20:34:06,Euti,,0,3,3,"What are 6 ways #IoT is improving our lives? #Cisco's VP @MaciejKranz writes in the World Economic Forum’s @WEF Agenda blog--see how #IoT is transforming #healthcare, #agriculture & our environmental impact in exciting ways. http://bit.ly/2n2Kdmk pic.twitter.com/qa7jnXb4aj",,@MaciejKranz @WEF,#IoT #Cisco #IoT #healthcare #agriculture,955539090505572352,https://twitter.com/Euti/status/955539090505572352
2018-01-22 20:33:52,RandyLong23,,0,0,1,"NEO Innovation challenge! #Cisco new hires learn about Design Thinking and present their innovative ideas @WeAreCisco RTP NEO 1/22-1/23pic.twitter.com/31HHFJzs0u",,@WeAreCisco,#Cisco,955539029554065409,https://twitter.com/RandyLong23/status/955539029554065409
2018-01-22 20:33:42,Euti,,0,0,0,"#Cisco orchestrates #IoT transformation at Cisco Live Barcelona. #CLEUR #CiscoInnovates, @sraghav19 #CiscoInnovates http://bit.ly/2ruqPTZ pic.twitter.com/SVdhsCr3Fs",,@sraghav19,#Cisco #IoT #CLEUR #CiscoInnovates #CiscoInnovates,955538987484983297,https://twitter.com/Euti/status/955538987484983297
2018-01-22 20:10:36,DCI_Academy,,0,0,6,"Free IT Training in #Connecticut for young adults! Earn credentials and paid internships! #Cisco #CompTIA #career #apprenticeship #jobsearch #job #education #internship @CTDOL @CTCareerFairs @CTJobConnecter @WaterburyCTJobs @WorkingCities @OpptyatWork @TechHire @CityofBptCTpic.twitter.com/ndSvdOlfQb",,@CTDOL @CTCareerFairs @CTJobConnecter @WaterburyCTJobs @WorkingCities @OpptyatWork @TechHire @CityofBptCTpic,#Connecticut #Cisco #CompTIA #career #apprenticeship #jobsearch #job #education #internship,955533175249362945,https://twitter.com/DCI_Academy/status/955533175249362945
2018-01-22 20:05:05,Venture_Tech,,0,0,0,"Register for #Cisco Security Certification and learn how to earn it http://ow.ly/PTly30hVPG8 #CCNA #CCNASecurity",,,#Cisco #CCNA #CCNASecurity,955531786355912705,https://twitter.com/Venture_Tech/status/955531786355912705
2018-01-22 20:02:05,MarkPrager_IL,,0,0,0,"yay. connected #aws scaling groups to #pagerduty to #cisco spark. Now getting alerts to my phone, email, sms and spark when needed... Now i gotta automate and refine it. pic.twitter.com/l1YiS1zJTY",,,#aws #pagerduty #cisco,955531032345890817,https://twitter.com/MarkPrager_IL/status/955531032345890817
2018-01-22 19:53:45,Hybrid_Circle,,0,0,0,"IDG Contributor Network: Marketers deserve mobile location data transparency, not smoke and mirrors http://twib.in/l/geXKzKqMd6G6 via @HYBRID_CIRCLE #Cisco #Hybridpic.twitter.com/ZnyWpMMOzt",,@HYBRID_CIRCLE,#Cisco #Hybridpic,955528932551548933,https://twitter.com/Hybrid_Circle/status/955528932551548933
2018-01-22 19:41:03,michele_henry,,0,0,1,"The 40 Best Workplaces in Technology https://buff.ly/2FNnXol #careers #workday #salesforce #sap #zillow #intuit #nvidia #vmware #adobe #sas #cisco #kronos #dropbox #autodesk #indeed #asana #blackline #yext #thumbtack #limeade #atlassian #seattle #sanfran #la #dtla #siliconpic.twitter.com/TKDnETxVQT",,,#careers #workday #salesforce #sap #zillow #intuit #nvidia #vmware #adobe #sas #cisco #kronos #dropbox #autodesk #indeed #asana #blackline #yext #thumbtack #limeade #atlassian #seattle #sanfran #la #dtla #siliconpic,955525739977244672,https://twitter.com/michele_henry/status/955525739977244672
2018-01-22 19:35:23,busybody1231,,0,0,0,"Technical Resource Network is hiring a Pre Post Sales Engineer in Oak Brook, IL #job #RFP/RFI/RFQ, #Cisco/Sourcefire, https://www.dice.com/jobs/detail/-/10208680/e320 …",,,#job #RFP #Cisco,955524311749570560,https://twitter.com/busybody1231/status/955524311749570560
