date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-01-01 23:48:00,LighthouseCS,,0,0,0,"Inside Cisco’s DNA Center – the dashboard for intent-based networking #IntentBasedNetworking #CiscoDNA #Cisco #CiscoPartner #NYBiz #NY #BostonBiz https://hubs.ly/H09xmFz0 by @networkworld",,@networkworld,#IntentBasedNetworking #CiscoDNA #Cisco #CiscoPartner #NYBiz #NY #BostonBiz,947977739843325957,https://twitter.com/LighthouseCS/status/947977739843325957
2018-01-01 23:44:01,whatsthebigdata,,0,0,0,"#Cisco predicts 50 billion things connected to #IoT by #2020 - what does it mean to connect? http://dld.bz/gppW5 pic.twitter.com/oyWebus4Jo",,,#Cisco #IoT #2020,947976737207537664,https://twitter.com/whatsthebigdata/status/947976737207537664
2018-01-01 23:42:23,FernandoHuamanX,,0,3,2,"Why cybersecurity, why now? 10 types of emerging cyberthreats #Mpgvip #ETHEREUM #defstar5 #bitcoin #hacking #Hacker #HybridIT #Attack #Cloud #ransomware #News #CyberAware #Linux #Hacked #vulnerability #WARNING #sysadmin #Malware #infosec #network #Cisco #attacks #mobilepic.twitter.com/XJw9cAU0G3",,,#Mpgvip #ETHEREUM #defstar5 #bitcoin #hacking #Hacker #HybridIT #Attack #Cloud #ransomware #News #CyberAware #Linux #Hacked #vulnerability #WARNING #sysadmin #Malware #infosec #network #Cisco #attacks #mobilepic,947976328099201024,https://twitter.com/FernandoHuamanX/status/947976328099201024
2018-01-01 23:31:24,FernandoHuamanX,,0,8,4,"Half of people plug in USB sticks they find in a parking lot #Mpgvip #ETHEREUM #defstar5 #bitcoin #hacking #Hacker #HybridIT #Attack #Cloud #ransomware #News #CyberAware #Linux #Hacked #vulnerability #WARNING #sysadmin #Malware #infosec #network #Cisco #attacks #mobilepic.twitter.com/O72jqdZ11n",,,#Mpgvip #ETHEREUM #defstar5 #bitcoin #hacking #Hacker #HybridIT #Attack #Cloud #ransomware #News #CyberAware #Linux #Hacked #vulnerability #WARNING #sysadmin #Malware #infosec #network #Cisco #attacks #mobilepic,947973564371673088,https://twitter.com/FernandoHuamanX/status/947973564371673088
2018-01-01 23:29:46,FernandoHuamanX,,0,4,2,"Ready to get hands on with AMP for Endpoints? #Mpgvip #ETHEREUM #defstar5 #bitcoin #hacking #Hacker #HybridIT #Attack #Cloud #ransomware #News #CyberAware #Linux #Hacked #vulnerability #WARNING #sysadmin #Malware #infosec #network #Cisco pic.twitter.com/GEV2V8GrzR",,,#Mpgvip #ETHEREUM #defstar5 #bitcoin #hacking #Hacker #HybridIT #Attack #Cloud #ransomware #News #CyberAware #Linux #Hacked #vulnerability #WARNING #sysadmin #Malware #infosec #network #Cisco,947973153086611456,https://twitter.com/FernandoHuamanX/status/947973153086611456
2018-01-01 23:09:54,Notes_Theory,,0,1,0,"Hard Token Implementation https://www.studynotesandtheory.com/single-post/Hard-Token-Implementation … ---------------- > #cissp #security #ceh #hacking #cybersecurity #infosec #pune #bengaluru #chennai #ethicalhacking #tech #breach #data #firewall #cisco #paloalto #checkpoint #fortinet #ciso #encryption #cryptography",,,#cissp #security #ceh #hacking #cybersecurity #infosec #pune #bengaluru #chennai #ethicalhacking #tech #breach #data #firewall #cisco #paloalto #checkpoint #fortinet #ciso #encryption #cryptography,947968151681228800,https://twitter.com/Notes_Theory/status/947968151681228800
2018-01-01 22:57:52,kkieller,enterprisecon,0,0,0,"What I love about Enterprise Connect is that you get to meet and engage with people who hold divergent views of the future for collaboration. Powerful insights. #Slack #Cisco #Facebook #Microsoft #Amazon. #EC18 @nojitterhttps://twitter.com/enterprisecon/status/947914097600983041 …",,@nojitterhttps,#Slack #Cisco #Facebook #Microsoft #Amazon #EC18,947965121845972993,https://twitter.com/kkieller/status/947965121845972993
2018-01-01 22:38:04,DABCC,,0,0,0,"Video: Cisco Networking Academy: 20 Years of Changing Worlds - #Cisco - http://bit.ly/2DhoYTz pic.twitter.com/DQ60pNt3F3",,,#Cisco,947960139335766016,https://twitter.com/DABCC/status/947960139335766016
2018-01-01 22:31:17,ahmedjr_16,,0,10,14,"17 Best #IT #Training & #Certification Courses https://goo.gl/vkC7hz #AI #Analytics #IoT #IIoT #Azure #AWS #tech #CCNA #Networking #Security #Hacking #Cisco #bitcoin #Cloud #DataScience #DataScientist #BigData #MachineLearning #DeepLearning #ML #makeyourownlane #defstar5pic.twitter.com/Lt5tvXl1Pi",,,#IT #Training #Certification #AI #Analytics #IoT #IIoT #Azure #AWS #tech #CCNA #Networking #Security #Hacking #Cisco #bitcoin #Cloud #DataScience #DataScientist #BigData #MachineLearning #DeepLearning #ML #makeyourownlane #defstar5pic,947958433533136896,https://twitter.com/ahmedjr_16/status/947958433533136896
2018-01-01 22:01:08,AlphaGammaHQ,,0,0,0,"Apply for #Cisco #Global #Problem #Solver #Challenge 2018 @ciscocsr Deadline: January 12, 2018 http://agtm.eu/2BXvf6y pic.twitter.com/WmPIKjCd5p",,@ciscocsr,#Cisco #Global #Problem #Solver #Challenge,947950845332787200,https://twitter.com/AlphaGammaHQ/status/947950845332787200
2018-01-01 22:00:17,WDPI,,0,1,0,"#Cisco maintenance doesn't have to be expensive. Check out Worldtech from World Data Products https://www.wdpi.com/blog/maintenance …",,,#Cisco,947950631767171072,https://twitter.com/WDPI/status/947950631767171072
2018-01-01 21:15:40,ivgcareyallen,,0,0,0,"iVantage Group is hiring! Apply now for the position of Network Engineer http://ivantagegroup.mycompas.com/staff/compas_sharejob.aspx?rID=CA993913528&rpid=23724&uID=17178 … #job #network #engineer #cisco #wan #router #switch",,,#job #network #engineer #cisco #wan #router #switch,947939405150420992,https://twitter.com/ivgcareyallen/status/947939405150420992
2018-01-01 21:03:01,LighthouseCS,,0,0,0,"Cisco Integrates Viptela SD-WAN Tech on Existing Routers #Cisco #CiscoDigital #CiscoPartner #IT #NYBiz #BostonBiz #SDWAN #Techies #Tech https://hubs.ly/H09xk8D0 by @sdxcentral",,@sdxcentral,#Cisco #CiscoDigital #CiscoPartner #IT #NYBiz #BostonBiz #SDWAN #Techies #Tech,947936222382579712,https://twitter.com/LighthouseCS/status/947936222382579712
2018-01-01 21:00:39,tvanherwijnen,,0,0,0,"Sales Enablement is #strategic at #Cisco! Learn more #SELAB http://bit.ly/1MNpbj7 pic.twitter.com/PUm3w6Id8t",,,#strategic #Cisco #SELAB,947935627093397509,https://twitter.com/tvanherwijnen/status/947935627093397509
2018-01-01 20:35:07,akkadianlabs,,0,1,0,"With Akkadian Provisioning Manager™ one web-based interface, adding new users & devices to #Cisco's UC environment has never been easier! http://ow.ly/8GrD30hk4Kp pic.twitter.com/wFY8TdWzHb",,,#Cisco,947929201398747138,https://twitter.com/akkadianlabs/status/947929201398747138
2018-01-01 20:08:46,cyberparse,,0,0,0,"#Cisco Secure Access Control System Information Disclosure Vulnerability - http://cyberparse.co.uk/2017/11/29/cisco-secure-access-control-system-information-disclosure-vulnerability-2/ … - #Vulnerabilities #VulnerabilityManagementpic.twitter.com/UxU0mLWZHJ",,,#Cisco #Vulnerabilities #VulnerabilityManagementpic,947922567184166914,https://twitter.com/cyberparse/status/947922567184166914
2018-01-01 20:00:35,WDPI,,0,1,0,"#Cisco #networking Compare features with our easy-to-use poster from World Data Products! https://www.wdpi.com/about/company-info/free-resources/landing-page/get-the-quick-glance-cisco-poster …",,,#Cisco #networking,947920510809198593,https://twitter.com/WDPI/status/947920510809198593
2018-01-01 19:05:12,Notes_Theory,,0,2,1,"How Anurag Cracked His CISSP Exam https://www.studynotesandtheory.com/single-post/How-Anurag-Cracked-His-CISSP-Exam … … ---------------- > #cissp #security #ceh #hacking #cybersecurity #infosec #pune #bengaluru #chennai #ethicalhacking #tech #breach #data #firewall #cisco #paloalto #checkpoint #fortinet #ciso #encryption #cryptography",,,#cissp #security #ceh #hacking #cybersecurity #infosec #pune #bengaluru #chennai #ethicalhacking #tech #breach #data #firewall #cisco #paloalto #checkpoint #fortinet #ciso #encryption #cryptography,947906570674991106,https://twitter.com/Notes_Theory/status/947906570674991106
2018-01-01 18:49:19,cyberparse,,0,0,0,"#Cisco Jabber Clients Cross-Site Scripting Vulnerability - http://cyberparse.co.uk/2017/11/29/cisco-jabber-clients-cross-site-scripting-vulnerability-2/ … - #Vulnerabilities #VulnerabilityManagementpic.twitter.com/BcELGohmH7",,,#Cisco #Vulnerabilities #VulnerabilityManagementpic,947902574442827781,https://twitter.com/cyberparse/status/947902574442827781
2018-01-01 18:49:17,cyberparse,,0,0,0,"#Cisco Nexus Series Switches CLI Command Injection Vulnerability - http://cyberparse.co.uk/2017/11/29/cisco-nexus-series-switches-cli-command-injection-vulnerability/ … - #Vulnerabilities #VulnerabilityManagementpic.twitter.com/tiEYoU2UPc",,,#Cisco #Vulnerabilities #VulnerabilityManagementpic,947902564389007361,https://twitter.com/cyberparse/status/947902564389007361
2018-01-01 18:48:52,cyberparse,,0,0,0,"#Cisco Nexus Series Switches CLI Command Injection Vulnerability - http://cyberparse.co.uk/2017/11/29/cisco-nexus-series-switches-cli-command-injection-vulnerability/ … - #Vulnerabilities #VulnerabilityManagementpic.twitter.com/kMtuN4XqzX",,,#Cisco #Vulnerabilities #VulnerabilityManagementpic,947902459258785792,https://twitter.com/cyberparse/status/947902459258785792
