date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-01-04 23:58:02,cciein8weeks,,0,1,0,"Hey #CCNP, #CCNA, #CLUS: Year-End Sale Live Now! 20% OFF on All-in-One #CCIE Training Bundles #routing #datacenter #servers #networks #firewall #network #engineer #data #certification #vlan #router #voip #information_technology #cisco #routerboard #mtcna #mtcre #mtcwe #mtctcepic.twitter.com/cdi1LVroji",,,#CCNP #CCNA #CLUS #CCIE #routing #datacenter #servers #networks #firewall #network #engineer #data #certification #vlan #router #voip #information_technology #cisco #routerboard #mtcna #mtcre #mtcwe #mtctcepic,949067429677735936,https://twitter.com/cciein8weeks/status/949067429677735936
2018-01-04 23:57:01,CXtec,,0,0,0,"Everything you need to know about the 2960 switch line from #Cisco. View the full video and transcription here: http://bit.ly/2jY93nz .",,,#Cisco,949067171627495426,https://twitter.com/CXtec/status/949067171627495426
2018-01-04 23:54:03,ICgetsIT,,0,0,1,"Defending Against The $5B Cybersecurity Threat – Business Email Compromise #CyberSecurity #CiscoSecurity #Cisco #DigitalAge #Louisiana #LafayetteLA https://hubs.ly/H09xplN0 by @ciscosecuritypic.twitter.com/F5RF2KYmN5",,@ciscosecuritypic,#CyberSecurity #CiscoSecurity #Cisco #DigitalAge #Louisiana #LafayetteLA,949066428367474689,https://twitter.com/ICgetsIT/status/949066428367474689
2018-01-04 23:35:19,ahmedjr_16,,1,13,13,"17 Best #IT #Training & #Certification Courses https://goo.gl/vkC7hz #AI #Analytics #IoT #IIoT #Azure #AWS #tech #CCNA #Networking #Security #Hacking #Cisco #bitcoin #Cloud #DataScience #DataScientist #BigData #MachineLearning #DeepLearning #ML #makeyourownlanepic.twitter.com/gbC2p8wbnS",,,#IT #Training #Certification #AI #Analytics #IoT #IIoT #Azure #AWS #tech #CCNA #Networking #Security #Hacking #Cisco #bitcoin #Cloud #DataScience #DataScientist #BigData #MachineLearning #DeepLearning #ML #makeyourownlanepic,949061711780134912,https://twitter.com/ahmedjr_16/status/949061711780134912
2018-01-04 23:19:06,PeteSierra5,,0,0,0,"Inside #Cisco’s #DNA Center – the dashboard for intent-based #networking http://bit.ly/2kiQOId",,,#Cisco #DNA #networking,949057630554570752,https://twitter.com/PeteSierra5/status/949057630554570752
2018-01-04 23:00:41,debclasen,,0,2,2,"#Cisco VP of Strategic Innovation @MaciejKranz tells @RTInsights why the convergence of #IoT, #AI, #FogComputing and #blockchain technology will drive new business value in 2018 http://bit.ly/2E8Rw2b pic.twitter.com/3Wz6zp5Enu",,@MaciejKranz @RTInsights,#Cisco #IoT #AI #FogComputing #blockchain,949052996708589568,https://twitter.com/debclasen/status/949052996708589568
2018-01-04 23:00:36,akkadianlabs,,0,0,0,"Planning a #Cisco UC upgrade? Turn to Akkadian Provisioning Manager™ for help! Learn more about one firm's story: http://ow.ly/99JF30hyzdf pic.twitter.com/VdmrKT0vr7",,,#Cisco,949052975187746821,https://twitter.com/akkadianlabs/status/949052975187746821
2018-01-04 22:49:15,skaragiannis,Cisco,0,0,2,"I enjoyed it a lot and consider myself being lucky to be there (CiscoHQs). History is always good to know. It teaches us about the future :) cc @silviakspiva #cisco #devnethttps://twitter.com/skaragiannis/status/916392351060373504 …",,@silviakspiva,#cisco #devnethttps,949050118501752832,https://twitter.com/skaragiannis/status/949050118501752832
2018-01-04 22:24:08,net_man_one,,0,0,0,"hackers steal sensitive information from almost every modern computing device containing chips from Intel, AMD ARM. @CiscoLive @CiscoIT @ciscoDC #clus #Cisco #getco #gohci @vmware #vmware @ConvergedUsers @DellEMC_CI http://bit.ly/2E7Jnem http://bbc.in/2CDN1QO",,@CiscoLive @CiscoIT @ciscoDC @vmware @ConvergedUsers @DellEMC_CI,#clus #Cisco #getco #gohci #vmware,949043798184808449,https://twitter.com/net_man_one/status/949043798184808449
2018-01-04 21:59:08,drwetter,,0,0,0,"Anybody knows whether the #IronPort builtin #DH 1024 prime can be changed to a custom DH prime? #cisco #esa. cc @CiscoSecurity",,@CiscoSecurity,#IronPort #DH #cisco #esa,949037507991261185,https://twitter.com/drwetter/status/949037507991261185
