date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2010-01-26 23:49:40,mrmouse79,,0,0,0,"please vote for ""Virtualization of Cisco Routers"" @Cisco Innovations - http://tinyurl.com/yf5rcdo #networkers2010 #cisco #innovation",,@Cisco,#networkers2010 #cisco #innovation,8256206704,https://twitter.com/mrmouse79/status/8256206704
2010-01-26 23:40:14,aarondelp,,0,0,0,"Does the #Cisco #UCS Palo card support carving up the vNICs at different speeds or all the vNICS presented as 10GB?",,,#Cisco #UCS,8255888567,https://twitter.com/aarondelp/status/8255888567
2010-01-26 23:16:12,dorafang,,0,0,0,": huh. #cisco execs responsive via @twitter DMs and #microsoft execs reached fastest via @facebook chat. connect and break through. #gitcc",,@twitter @facebook,#cisco #microsoft #gitcc,8255044322,https://twitter.com/dorafang/status/8255044322
2010-01-26 23:13:54,vStewed,,0,1,0,"did you catch #Cisco #NetApp #VMware webcast? For more details I blogged on #CNV and the #SMT offering http://bit.ly/bKEioN #IVA",,,#Cisco #NetApp #VMware #CNV #SMT #IVA,8254961446,https://twitter.com/vStewed/status/8254961446
2010-01-26 23:13:08,dorafang,,0,0,0,"is thinking @driving innovation in big companies, listening to panelists from #cisco #paypal #hp #microsoft #gitcc",,@driving,#cisco #paypal #hp #microsoft #gitcc,8254934212,https://twitter.com/dorafang/status/8254934212
2010-01-26 22:24:05,rsbrown7,,0,1,0,"Welcome @officialjaheim! Congratulations on having the latest #CiscoEos powered site: http://www.jaheimmusic.com/ #Cisco #Warner",,@officialjaheim,#CiscoEos #Cisco #Warner,8253161666,https://twitter.com/rsbrown7/status/8253161666
2010-01-26 22:19:36,kevin_houston,aarondelp,0,0,0,"@aarondelp What is the #Cisco #UCS answer to #HP's Flex-10 >>PALO (Virtual NIC)",,@aarondelp,#Cisco #UCS #HP,8253003565,https://twitter.com/kevin_houston/status/8253003565
2010-01-26 22:08:31,ucs_dave,,0,0,0,"@aarondelp It's the #Cisco Virtual Interface Card (VIC), also known as the ""Palo"" adapter. Does virtual NICs and HBAs. Shipping soon...",,@aarondelp,#Cisco,8252619459,https://twitter.com/ucs_dave/status/8252619459
2010-01-26 22:05:29,aarondelp,,0,0,0,"What is the #Cisco #UCS answer to #HP's Flex-10 and IBM's vNIC ability to carve up virtual nics, independent of OS?",,,#Cisco #UCS #HP,8252513972,https://twitter.com/aarondelp/status/8252513972
2010-01-26 21:09:00,justin_guidroz,,0,0,0,"You can always tell when I'm adding VLANs to our production DC network. Port profiles would be great on the Nexus 5ks. #Cisco",,,#Cisco,8250568611,https://twitter.com/justin_guidroz/status/8250568611
2010-01-26 20:56:46,HarryHecht,,0,0,0,"#Cisco announces zero percent financing program for #SMBs http://ow.ly/10IoJ",,,#Cisco #SMBs,8250152750,https://twitter.com/HarryHecht/status/8250152750
2010-01-26 20:21:51,joycevogt,,0,0,0,"Exciting trends in #DigitalMarketing #SocialMedia #DigitalMedia #Marketing presents opportunity for #Cisco #DMS: http://bit.ly/5B7P0E",,,#DigitalMarketing #SocialMedia #DigitalMedia #Marketing #Cisco #DMS,8248993077,https://twitter.com/joycevogt/status/8248993077
2010-01-26 20:17:31,CiscoDCDocs,,0,0,1,"Configuration limit guidelines for Cisco MDS 9000 series nx-os 4.2 - http://bit.ly/dCZ6SM #cisco #mds",,,#cisco #mds,8248851683,https://twitter.com/CiscoDCDocs/status/8248851683
2010-01-26 19:54:47,binhead,,0,0,0,"All that wrk re-configing my #Cisco #WIC, found its a #WIC-1SHDSL-V2 capable of only 2.3M upgrade: #WIC-1ADSL http://tweetphoto.com/9656870",,,#Cisco #WIC #WIC #WIC,8248116892,https://twitter.com/binhead/status/8248116892
2010-01-26 19:38:42,CyrilSebastian,,0,0,0,"#Cisco comes-up new #Linux-powered router wid storage Link.......http://goo.gl/8mIq",,,#Cisco #Linux,8247596548,https://twitter.com/CyrilSebastian/status/8247596548
2010-01-26 19:36:27,tom_howarth,,0,0,0,"RT @stevie_chambers: @tom_howarth it's ok, all the good #sun people are at #cisco now... < OKPanic over :D",,@stevie_chambers @tom_howarth,#sun #cisco,8247522828,https://twitter.com/tom_howarth/status/8247522828
2010-01-26 19:27:04,unixplayer,,0,0,0,"RT @stevie_chambers: So many HP'ers now at #Cisco - perhaps this is a new 'Takeover by Infiltration' M&A strategy?",,@stevie_chambers,#Cisco,8247213615,https://twitter.com/unixplayer/status/8247213615
2010-01-26 19:20:28,integracon,,0,0,0,"to be the root of vlan 12, the problem that i have is that the network is very ... the network, this issue c... http://bit.ly/d8lJu7 #cisco",,,#cisco,8246998285,https://twitter.com/integracon/status/8246998285
2010-01-26 19:20:03,rsbrown7,,0,0,0,"#Job opening: #SF -based Sr #Java #engineer for #CiscoEos social entertainment platform: : http://bit.ly/5bZXzg. #Cisco #media",,,#Job #SF #Java #engineer #CiscoEos #Cisco #media,8246983898,https://twitter.com/rsbrown7/status/8246983898
2010-01-26 19:15:22,kensnyder,,0,1,0,"CDW Unified Communications team having fun with Flip Mino - ""Remote Phone Control - With a real remote"" http://bit.ly/aJXY5j #cisco #uc",,,#cisco #uc,8246829381,https://twitter.com/kensnyder/status/8246829381
2010-01-26 19:02:19,trenchard,,0,0,0,"#cisco space routing helping Haiti bandwidth",,,#cisco,8246400331,https://twitter.com/trenchard/status/8246400331
2010-01-26 18:55:38,yru12bnvs,,0,0,0,"via @CiscoGeeks WAN Optimization is an important part of Cisco’s infra stratgy. Read more about #Cisco 's OWN #network: http://bit.ly/a2M8JJ",,@CiscoGeeks,#Cisco #network,8246177077,https://twitter.com/yru12bnvs/status/8246177077
2010-01-26 18:48:29,bgracely,,0,0,0,"RT @aarondelp: Anybody out there have #BMC on #Cisco #UCS experience? << can't believe you're already trying to get another certification :)",,@aarondelp,#BMC #Cisco #UCS,8245945644,https://twitter.com/bgracely/status/8245945644
2010-01-26 18:44:02,ignitetechnical,,0,0,0,"We have a #Vancouver client interviewing on Friday for a #Cisco Admin role. Let us know now if you're interested.",,,#Vancouver #Cisco,8245797913,https://twitter.com/ignitetechnical/status/8245797913
2010-01-26 18:43:04,vishrutshukla,,0,0,0,"RT: @telepresence: #Cisco Accelerates Intercompany Collaboration With #Telepresence #Interoperability -> Cisco News - http://shar.es/aSLY3",,@telepresence,#Cisco #Telepresence #Interoperability,8245766976,https://twitter.com/vishrutshukla/status/8245766976
2010-01-26 18:42:27,WaveLengthMA,,0,0,0,"RT @telepresence: #Cisco Accelerates Intercompany Collaboration With #Telepresence #Interoperability -> Cisco News - http://shar.es/aSLY3",,@telepresence,#Cisco #Telepresence #Interoperability,8245746730,https://twitter.com/WaveLengthMA/status/8245746730
